W3ALCD,Doing_Business_As,Restaurant_Address,Inspection_Date,Major_Violation_Improper_Holding_Temperature,Minor_Violation_Improper_Holding_Temperature,Major_Violation_Inadequate_Cooking,Minor_Violation_Inadequate_Cooking,Major_Violation_Personal_Hygiene,Minor_Violation_Personal_Hygiene,Major_Violation_Contaminated_Equipment,Minor_Violation_Contaminated_Equipment,Major_Violation_Unsafe_Food_Source,Minor_Violation_Unsafe_Food_Source,InDbDate
FA0000815,BERKELEY SUSHI HOUSE,"2521-C DURANT AVE
BERKELEY, CA
(37.867978340000036, -122.25798341899997)",02/09/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000240,BERKELEY TENNIS CLUB,"1 TUNNEL RD
BERKELEY, CA
(37.858027234000076, -122.24347158199998)",01/22/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000764,BERKELEY THAI HOUSE,"2511 CHANNING WY
BERKELEY, CA
(37.86700811800006, -122.25826342299996)",12/08/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000047,BERKELEY TOUCHLESS CAR WASH 1099/1615,"2176 KITTREDGE ST
BERKELEY, CA
(37.86864320600006, -122.26657598399999)",02/06/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000444,BERKELEY YACHT CLUB,"1 SEAWALL DR
BERKELEY, CA
(37.86583154200008, -122.31772821399994)",04/30/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000556,BERKELEY YOUTH ALTERNATIVE,"1255 ALLSTON WY
BERKELEY, CA
(37.867038078000064, -122.28656346499997)",11/26/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000698,BETA LOUNGE,"2129 DURANT AVE
BERKELEY, CA
(37.86680248300007, -122.267035282)",09/10/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000817,BETTE'S OCEANVIEW DINER,"1807-A FOURTH ST
BERKELEY, CA
(37.86980333400004, -122.30054489399998)",02/09/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000818,BETTE'S TO GO,"1807 FOURTH ST
BERKELEY, CA
(37.87000059400003, -122.30060747499999)",02/09/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000098,BING'S LIQUOR  1099/1615,"1801 SAN PABLO AVE
BERKELEY, CA
(37.871490495000046, -122.29280767999995)",03/06/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000457,BIOFUEL OASIS COOPERATIVE,"1441 ASHBY AVE
BERKELEY, CA
(37.85329826900005, -122.27935018099998)",06/23/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000071,BISTRO LIASION,"1849 SHATTUCK AVE
BERKELEY, CA
(37.87415457000003, -122.26851527499997)",02/04/2015,0,1,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000237,BLACK & WHITE LIQUOR 1099/1616,"3027 ADELINE ST
BERKELEY, CA
(37.854389480000066, -122.26907758799996)",11/21/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000315,BLONDIE'S,"2340 TELEGRAPH AVE
BERKELEY, CA
(37.86807397900003, -122.25910343699996)",01/08/2014,1,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001293,BLUE DOOR,"2242 BANCROFT WAY
BERKELEY, CA
(37.868102786000065, -122.26401561399996)",02/04/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000360,BOBBY G'S PIZZERIA,"2074 UNIVERSITY AVE
BERKELEY, CA
(37.87199288900007, -122.26907643599998)",05/28/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001457,BO BO DRINKS,"2037 SHATTUCK AVE
BERKELEY, CA
(37.87170366700008, -122.26772480899996)",12/02/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000488,BOB'S LIQUORS 1099/1615,"2842 SACRAMENTO ST
BERKELEY, CA
(37.85611329400007, -122.27972351999995)",01/28/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000261,BOMBAY SPICE HOUSE,"1036 UNIVERSITY AVE
BERKELEY, CA
(37.868753825000056, -122.29355320599996)",07/08/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000335,BONGO BURGER,"2154 CENTER ST
BERKELEY, CA
(37.87048340000007, -122.26647573599996)",02/24/2015,1,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001301,BONITA FISH MARKET,"1941 UNIVERSITY AVE
BERKELEY, CA
(37.87175782400004, -122.27206314999995)",10/30/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001422,BOTELLA REPUBLIC,"2055 CENTER ST
BERKELEY, CA
(37.87018726400004, -122.269143268)",07/08/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001288,BRAZIL CAFE,"1960 UNIVERSITY AVE
BERKELEY, CA
(37.871693296000046, -122.27146511599994)",02/25/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000794,BREADS OF INDIA,"2448 SACRAMENTO ST
BERKELEY, CA
(37.86236672700005, -122.28124337999998)",12/08/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000468,BRENNAN'S,"700 UNIVERSITY AVE
BERKELEY, CA
(37.867243184000074, -122.30057405899998)",12/18/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000431,BREWED AWAKENING INC.,"1807 EUCLID AVE
BERKELEY, CA
(37.87583690200006, -122.26023497799997)",02/24/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000636,BROOM BUSH CAFE,"2725 SAN PABLO AVE
BERKELEY, CA
(37.85672169900005, -122.28804760399998)",08/11/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000781,BUDDHIST CHURCHES OF AMERICA,"2140 DURANT AVE
BERKELEY, CA
(37.86684334200004, -122.26625564999995)",05/22/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001215,BUILD PIZZERIA,"2284 86 SHATTUCK AVE
BERKELEY, CA
(37.87176076700007, -122.26779723499999)",08/01/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000347,BURGER MEISTER,"2237 SHATTUCK AVE
BERKELEY, CA
(37.868713495000065, -122.26772480899996)",02/20/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001527,BURRITOS INC.,"2116 SHATTUCK AVE
BERKELEY, CA
(37.87068505000008, -122.26827329499997)",,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000508,BUSD FOOD SERVICE WAREHOUSE,"1733 RUSSELL ST
BERKELEY, CA
(37.85577798000003, -122.27388375599998)",02/25/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000214,CACTUS TACQUERIA SOLANO,"1881 SOLANO AVE
BERKELEY, CA
(37.89147797500004, -122.27781188399996)",05/29/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000576,CAFE 64,"800 DWIGHT WY
BERKELEY, CA
(37.85985145400008, -122.29564244899996)",05/21/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001072,CAFE CLEM,"2020 KITTREDGE ST
BERKELEY, CA
(37.86823299400004, -122.26951545499998)",06/02/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000525,CAFE DURANT,"2517-C DURANT AVE
BERKELEY, CA
(37.86794838000003, -122.25821272299999)",05/28/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000121,CAFE GRATITUDE,"1730 SHATTUCK AVE
BERKELEY, CA
(37.875967109000044, -122.26891396399998)",01/13/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001238,CAFE LA RENAISSANCE,"3045 SHATTUCK AVE
BERKELEY, CA
(37.85366469500008, -122.26627523899998)",01/23/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000112,CAFE LEILA,"1724 SAN PABLO AVE
BERKELEY, CA
(37.87256096400006, -122.29336192699998)",05/28/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
