BldgID,Meter ID,Item,Value,Start date,Meter End Date,ImpvtDate
70,129,Natural Gas,,02/28/2011,03/29/2011,10/19/2010
70,129,Natural Gas,,03/29/2011,04/28/2011,10/19/2010
70,129,Natural Gas,,04/28/2011,05/27/2011,10/19/2010
70,129,Natural Gas,,05/27/2011,06/28/2011,10/19/2010
70,129,Natural Gas,,06/28/2011,07/28/2011,10/19/2010
70,129,Natural Gas,,07/28/2011,08/26/2011,10/19/2010
70,129,Natural Gas,,08/26/2011,09/27/2011,10/19/2010
70,129,Natural Gas,,09/27/2011,10/26/2011,10/19/2010
70,129,Natural Gas,,10/26/2011,11/28/2011,10/19/2010
70,129,Natural Gas,,11/28/2011,12/27/2011,10/19/2010
70,129,Natural Gas,,12/27/2011,01/26/2012,10/19/2010
70,129,Natural Gas,,01/26/2012,02/27/2012,10/19/2010
70,129,Natural Gas,,02/27/2012,03/27/2012,10/19/2010
70,129,Natural Gas,,03/27/2012,04/26/2012,10/19/2010
70,129,Natural Gas,,04/26/2012,05/25/2012,10/19/2010
70,129,Natural Gas,,05/25/2012,06/26/2012,10/19/2010
70,129,Natural Gas,,06/26/2012,07/26/2012,10/19/2010
70,129,Natural Gas,,07/26/2012,08/24/2012,10/19/2010
70,129,Natural Gas,,08/24/2012,09/25/2012,10/19/2010
70,129,Natural Gas,,09/25/2012,10/24/2012,10/19/2010
70,129,Natural Gas,,10/24/2012,11/26/2012,10/19/2010
70,129,Natural Gas,,11/26/2012,12/26/2012,10/19/2010
70,129,Natural Gas,,12/26/2012,01/25/2013,10/19/2010
70,129,Natural Gas,,01/25/2013,02/26/2013,10/19/2010
70,129,Natural Gas,,02/26/2013,03/27/2013,10/19/2010
70,129,Natural Gas,,03/27/2013,04/26/2013,10/19/2010
70,129,Natural Gas,,04/26/2013,05/28/2013,10/19/2010
70,129,Natural Gas,,05/28/2013,06/26/2013,10/19/2010
70,129,Natural Gas,,07/26/2013,08/26/2013,10/19/2010
70,129,Natural Gas,,08/26/2013,09/25/2013,10/19/2010
45,81,Natural Gas,,06/03/2010,07/01/2010,11/11/2010
45,81,Natural Gas,,07/31/2013,08/29/2013,11/11/2010
45,81,Natural Gas,,07/01/2009,08/03/2009,11/11/2010
45,81,Natural Gas,0,08/03/2009,09/01/2009,11/11/2010
45,81,Natural Gas,,09/01/2009,10/01/2009,11/11/2010
45,81,Natural Gas,,10/01/2009,10/29/2009,11/11/2010
45,81,Natural Gas,,10/29/2009,12/01/2009,11/11/2010
45,81,Natural Gas,,12/01/2009,12/30/2009,11/11/2010
45,81,Natural Gas,,12/30/2009,02/01/2010,11/11/2010
45,81,Natural Gas,,02/01/2010,03/04/2010,11/11/2010
45,81,Natural Gas,,03/04/2010,04/02/2010,11/11/2010
45,81,Natural Gas,,04/02/2010,05/04/2010,11/11/2010
45,81,Natural Gas,,05/04/2010,06/03/2010,11/11/2010
45,81,Natural Gas,,07/01/2010,08/02/2010,11/11/2010
45,81,Natural Gas,,08/02/2010,09/01/2010,11/11/2010
45,81,Natural Gas,,09/01/2010,10/01/2010,11/11/2010
45,81,Natural Gas,,10/01/2010,11/01/2010,11/11/2010
45,81,Natural Gas,,11/01/2010,12/02/2010,11/11/2010
45,81,Natural Gas,,12/02/2010,12/31/2010,11/11/2010
45,81,Natural Gas,,12/31/2010,02/01/2011,11/11/2010
45,81,Natural Gas,,02/01/2011,03/03/2011,11/11/2010
45,81,Natural Gas,,03/03/2011,04/01/2011,11/11/2010
45,81,Natural Gas,,04/01/2011,05/03/2011,11/11/2010
45,81,Natural Gas,,05/03/2011,06/02/2011,11/11/2010
45,81,Natural Gas,,06/02/2011,07/01/2011,11/11/2010
45,81,Natural Gas,,07/01/2011,08/02/2011,11/11/2010
45,81,Natural Gas,,08/02/2011,08/31/2011,11/11/2010
45,81,Natural Gas,,08/31/2011,09/30/2011,11/11/2010
45,81,Natural Gas,,09/30/2011,10/31/2011,11/11/2010
45,81,Natural Gas,,10/31/2011,12/01/2011,11/11/2010
45,81,Natural Gas,,12/01/2011,12/30/2011,11/11/2010
45,81,Natural Gas,,12/30/2011,01/31/2012,11/11/2010
45,81,Natural Gas,,01/31/2012,03/01/2012,11/11/2010
45,81,Natural Gas,,03/01/2012,03/30/2012,11/11/2010
45,81,Natural Gas,,03/30/2012,05/01/2012,11/11/2010
45,81,Natural Gas,,05/01/2012,05/31/2012,11/11/2010
45,81,Natural Gas,,05/31/2012,06/29/2012,11/11/2010
45,81,Natural Gas,,06/02/2009,07/01/2009,11/11/2010
45,81,Natural Gas,,05/01/2009,06/02/2009,11/11/2010
45,80,Electricity,,12/31/2010,01/06/2011,11/11/2010
45,80,Electricity,,12/02/2010,12/31/2010,11/11/2010
45,80,Electricity,,11/01/2010,12/02/2010,11/11/2010
45,80,Electricity,,10/01/2010,11/01/2010,11/11/2010
45,80,Electricity,,09/01/2010,10/01/2010,11/11/2010
45,80,Electricity,,08/02/2010,09/01/2010,11/11/2010
45,80,Electricity,,07/01/2010,08/02/2010,11/11/2010
45,80,Electricity,,06/03/2010,07/01/2010,11/11/2010
45,80,Electricity,,05/04/2010,06/03/2010,11/11/2010
45,80,Electricity,,04/02/2010,05/04/2010,11/11/2010
45,80,Electricity,,03/04/2010,04/02/2010,11/11/2010
45,80,Electricity,,02/01/2010,03/04/2010,11/11/2010
45,80,Electricity,,12/30/2009,02/01/2010,11/11/2010
45,80,Electricity,,12/01/2009,12/30/2009,11/11/2010
45,80,Electricity,,10/29/2009,12/01/2009,11/11/2010
45,80,Electricity,,10/01/2009,10/29/2009,11/11/2010
45,80,Electricity,,09/01/2009,10/01/2009,11/11/2010
45,80,Electricity,,08/03/2009,09/01/2009,11/11/2010
45,80,Electricity,,07/01/2009,08/03/2009,11/11/2010
45,80,Electricity,,06/02/2009,07/01/2009,11/11/2010
45,80,Electricity,,05/01/2009,06/02/2009,11/11/2010
45,81,Natural Gas,,06/29/2012,07/31/2012,11/11/2010
45,81,Natural Gas,,07/31/2012,08/29/2012,11/11/2010
45,81,Natural Gas,,08/29/2012,09/28/2012,11/11/2010
45,81,Natural Gas,,09/28/2012,10/29/2012,11/11/2010
45,81,Natural Gas,,10/29/2012,11/29/2012,11/11/2010
45,81,Natural Gas,,11/29/2012,12/31/2012,11/11/2010
45,81,Natural Gas,,12/31/2012,01/30/2013,11/11/2010
45,81,Natural Gas,,01/30/2013,03/01/2013,11/11/2010
45,81,Natural Gas,,03/01/2013,04/01/2013,11/11/2010
45,81,Natural Gas,,04/01/2013,05/01/2013,11/11/2010
45,81,Natural Gas,,05/01/2013,05/31/2013,11/11/2010
45,81,Natural Gas,,05/31/2013,07/01/2013,11/11/2010
45,81,Natural Gas,,07/01/2013,07/31/2013,11/11/2010
18,31,Electricity,,09/05/2013,10/04/2013,11/12/2010
18,31,Electricity,,08/06/2013,09/05/2013,11/12/2010
18,31,Electricity,,07/08/2013,08/06/2013,11/12/2010
18,31,Electricity,,06/06/2013,07/08/2013,11/12/2010
18,31,Electricity,,05/07/2013,06/06/2013,11/12/2010
18,31,Electricity,,05/07/2010,06/08/2010,11/12/2010
18,31,Electricity,,04/09/2010,05/07/2010,11/12/2010
18,31,Electricity,,03/09/2010,04/09/2010,11/12/2010
18,31,Electricity,,02/05/2010,03/09/2010,11/12/2010
18,31,Electricity,,01/06/2010,02/05/2010,11/12/2010
18,31,Electricity,,12/07/2009,01/06/2010,11/12/2010
18,31,Electricity,,10/07/2009,12/07/2009,11/12/2010
18,31,Electricity,,09/04/2009,10/07/2009,11/12/2010
18,31,Electricity,,08/07/2009,09/04/2009,11/12/2010
18,31,Electricity,,07/08/2009,08/07/2009,11/12/2010
18,31,Electricity,,06/08/2009,07/08/2009,11/12/2010
18,31,Electricity,,05/08/2009,06/08/2009,11/12/2010
18,31,Electricity,,04/08/2009,05/08/2009,11/12/2010
18,31,Electricity,,03/09/2009,04/08/2009,11/12/2010
18,31,Electricity,,02/05/2009,03/09/2009,11/12/2010
18,31,Electricity,,01/07/2009,02/05/2009,11/12/2010
18,31,Electricity,,12/10/2008,01/07/2009,11/12/2010
18,30,Natural Gas,,09/05/2013,10/04/2013,11/12/2010
18,30,Natural Gas,,08/06/2013,09/05/2013,11/12/2010
18,30,Natural Gas,,07/08/2013,08/06/2013,11/12/2010
18,30,Natural Gas,,06/06/2013,07/08/2013,11/12/2010
18,30,Natural Gas,,05/07/2013,06/06/2013,11/12/2010
18,30,Natural Gas,,04/05/2013,05/07/2013,11/12/2010
18,30,Natural Gas,,12/10/2008,01/07/2009,11/12/2010
18,30,Natural Gas,,01/07/2009,02/05/2009,11/12/2010
18,30,Natural Gas,,02/05/2009,03/09/2009,11/12/2010
18,30,Natural Gas,,03/09/2009,04/08/2009,11/12/2010
18,30,Natural Gas,,04/08/2009,05/08/2009,11/12/2010
18,30,Natural Gas,,05/08/2009,06/08/2009,11/12/2010
18,30,Natural Gas,,06/08/2009,07/08/2009,11/12/2010
18,30,Natural Gas,,07/08/2009,08/07/2009,11/12/2010
18,30,Natural Gas,,08/07/2009,09/04/2009,11/12/2010
18,30,Natural Gas,,09/04/2009,10/07/2009,11/12/2010
18,30,Natural Gas,,10/07/2009,11/05/2009,11/12/2010
18,30,Natural Gas,,11/05/2009,12/07/2009,11/12/2010
18,30,Natural Gas,,12/07/2009,01/06/2010,11/12/2010
18,30,Natural Gas,,01/06/2010,02/05/2010,11/12/2010
18,30,Natural Gas,,03/06/2013,04/05/2013,11/12/2010
18,30,Natural Gas,,01/06/2012,02/06/2012,11/12/2010
18,30,Natural Gas,,12/06/2011,01/06/2012,11/12/2010
18,30,Natural Gas,,11/04/2011,12/06/2011,11/12/2010
