Year,Department,idsite,Site,End Use,Annual Cost,Annual Water (Gallons),Annual Elec (kWh),Annual Nat Gas (Therms),Annual Energy (kWheq),Location 1
2014,Public Safety,26,Fire House #2,Buildings,$21967,308372,66008,3716,174918,"2029 Berkeley Way
Berkeley, CA
(37.87291817200003, -122.26923429799996)"
2014,Public Safety,24,Fire House #3,Buildings,$12503,156951,35491,1435,77549,"2710 Russell
Berkeley, CA
(37.85849275600003, -122.25253773499998)"
2014,Public Safety,22,Fire House #4,Buildings,$11171,69628,33457,1544,78710,"1900 Marin
Berkeley, CA
(37.88892336600003, -122.276085766)"
2014,Public Safety,23,Fire House #5,Buildings,$21403,148852,64638,2432,135916,"2680 Shattuck
Berkeley, CA
(37.860423980000064, -122.26714405899997)"
2014,Public Safety,19,Fire House #6,Buildings,$13113,218356,22255,920,49218,"999 Cedar
Berkeley, CA
(37.87466733600007, -122.29695474199997)"
2014,Public Safety,443,Fire Station #7,Buildings,$18798,159423,45517,1579,91795,"3000 Shasta Road
Berkeley, CA
(37.89045987600008, -122.25229142499995)"
2014,Public Safety,452,Parking Enforcement,Buildings,$9541,175607,26184,1023,56167,"841 Folger Street
Berkeley, CA
(37.84998776400005, -122.29116452599999)"
2014,Public Safety,137,Public Safety Building,Buildings,$195377,573886,1199017,5627,1363936,"2100 Martin Luther King Jr Way
Berkeley, CA
(37.87007664500004, -122.27288357499998)"
2014,PW,132,1351 BANCROFT WAY,,$1439,89139,,,0,"1351 BANCROFT WAY
Berkeley, CA
(37.86544002900007, -122.28466602999998)"
2014,PW,402,1947 Center St.,Buildings,$300467,1572212,1651636,57257,3329744,"1947 Center St
Berkeley, CA
(37.86990841200003, -122.27118280699995)"
2014,PW,404,2017 University Ave Receptacles,Receptacles,$134,,69,,69,"2017 University Ave
Berkeley, CA
(37.872018240000045, -122.27009274799997)"
2014,PW,125,Bart Plaza,Streetlighting metered,$657,,2829,,2829,"2150 Shattuck Ave
Berkeley, CA
(37.87003401000004, -122.26800366199996)"
2014,PW,76,Bolivar/Addison Water Pump,Pumps,$458,,1171,,1171,"400 Addison
Berkeley, CA
(37.86678687400007, -122.29687842499999)"
2014,PW,71,Center St Garage,Garages,$29994,181328,167276,,167276,"2025 Center St
Berkeley, CA
(37.870097386000054, -122.26976319599999)"
2014,PW,20,Center St Garage storefront,Buildings,$3123,,15229,,15229,"2033 Center
Berkeley, CA
(37.870097386000054, -122.26978393699994)"
2014,PW,1,Civic Center Admin. Offices,Buildings,$154825,556560,786790,16284,1264047,"2180 Milvia St
Berkeley, CA
(37.86949704700004, -122.27053407199998)"
2014,PW,497,Corp Yard Campus,Buildings,$59435,463998,269121,9421,545232,"1326 Allston Way
Berkeley, CA
(37.86690326100006, -122.28508623899995)"
2014,PW,133,Holiday Lights -2400 block Telegraph,Receptacles,$633,,2504,,2504,"2400 Telegraph
Berkeley, CA
(37.866743093000025, -122.25883265099998)"
2014,PW,68,Hydrant Permit - Public Works,Hydrant Permit,$21855,1129723,,,0,
2014,PW,390,Marina Hydrant.HJ Rest. Lot 491 UNIV,unknown,$339,6474,,,0,"491 UNIVERSITY
Berkeley, CA
(37.866329251000025, -122.30609251599998)"
2014,PW,486,Old City Hall,Buildings,$14659,159531,27002,2140,89722,"2134 Martin Luther King Jr Way
Berkeley, CA
(37.869687174000035, -122.27283402699999)"
