Semester Year Name,Semester Year Letter Cd Concat,Semester Nm,Ungrad Grad Cd,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum,Student Headcount-DEC,Academic Yr
2006 Spring,2006 B,Spring,U,All,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,39,37,39,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,39,39,39,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,15,12,15,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,166,133,166,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,27,25,27,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,273,227.6666667,273,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,19,17.5,19,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,239,201.5,239,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,290,248.6666667,290,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,185,166,185,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,56,50,56,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,51,47,51,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,102,77.83333333,102,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,English,641,576.3333333,641,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,90,79.5,90,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,French,55,39.5,55,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,German,31,23.66666667,31,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,96,88,96,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,21,14.83333333,21,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Music,114,105,114,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,28,21,28,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,195,173.8333333,195,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,149,112,149,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Scandinavian,11,9,11,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,19,16.5,19,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,31,23,31,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,118,94.5,118,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,95,84.5,95,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,399,370.5,399,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,1046,960.5,1046,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,46,36.5,46,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,39,34.5,39,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,307,255.6666667,307,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Other Physical Sciences Pgms,3,3,3,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,130,105.8333333,130,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,78,57.33333333,78,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,39,31,39,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,252,228,252,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Economics,665,541,665,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,165,143.1666667,165,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,26,23.5,26,2005-06
